"filename", "language", "Protocol Buffers", "C++", "Makefile", "Markdown", "Docker", "CMake", "YAML", "Swift", "XML", "Dart", "HTML", "JSON", "Groovy", "Properties", "Go", "Go Checksum File", "Go Module File", "Environment Variables", "SQL", "comment", "blank", "total"
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 38
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Info.plist", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\auth_messages.pb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 47, 379
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\auth_messages.pbenum.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\auth_messages.pbjson.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 16, 96
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 14
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pbenum.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pbgrpc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23, 161
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\duo_service.pbjson.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 4, 16
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\google\protobuf\timestamp.pb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 110, 13, 191
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\google\protobuf\timestamp.pbenum.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\google\protobuf\timestamp.pbjson.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 30
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\session_messages.pb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 524, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 70, 603
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\session_messages.pbenum.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\session_messages.pbjson.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 22, 140
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\void.pb.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 11, 50
"c:\Users\adria\Documents\DHBW\Studienarbeit\DUO\duo_client\lib\pb\void.pbenum.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 3, 12
